AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,SexuponOutcome1,AgeuponOutcome,Breed,Breed1,Breed2,year,month,date,Color,Color1,Color2
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,Dog,Neutered,Male,1 year,Shetland Sheepdog Mix,,,2014,2,12,Brown,White,
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,Cat,Spayed,Female,1 year,Domestic Shorthair Mix,,,2013,10,13,Cream Tabby,,
A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered,Male,2 years,Pit Bull Mix,,,2015,1,31,Blue,White,
A683430,,2014-07-11 19:09:00,Transfer,Partner,Cat,Intact,Male,3 weeks,Domestic Shorthair Mix,,,2014,7,11,Blue Cream,,
A667013,,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered,Male,2 years,Lhasa Apso,Miniature Poodle,,2013,11,15,Tan,,
A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact,Female,1 month,Cairn Terrier,Chihuahua Shorthair,,2014,4,25,Black,Tan,
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact,Male,3 weeks,Domestic Shorthair Mix,,,2015,3,28,Blue Tabby,,
A701489,,2015-04-30 17:02:00,Transfer,Partner,Cat,Unknown,,3 weeks,Domestic Shorthair Mix,,,2015,4,30,Brown Tabby,,
A671784,Lucy,2014-02-04 17:17:00,Adoption,,Dog,Spayed,Female,5 months,American Pit Bull Terrier Mix,,,2014,2,4,Red,White,
A677747,,2014-05-03 07:48:00,Adoption,Offsite,Dog,Spayed,Female,1 year,Cairn Terrier,,,2014,5,3,White,,
A668402,,2013-12-05 15:50:00,Transfer,SCRP,Cat,Unknown,,2 years,Domestic Shorthair Mix,,,2013,12,5,Black,,
A666320,,2013-11-04 14:48:00,Adoption,,Dog,Spayed,Female,2 years,Miniature Schnauzer Mix,,,2013,11,4,Silver,,
A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered,Male,4 years,Pit Bull Mix,,,2016,2,3,Brown,,
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,Dog,Neutered,Male,2 years,Yorkshire Terrier Mix,,,2015,6,8,Black,Red,
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,Dog,Neutered,Male,1 year,Great Pyrenees Mix,,,2015,11,25,White,Cream,
A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,Cat,Neutered,Male,3 months,Domestic Shorthair Mix,,,2014,7,12,Orange Tabby,White,
A678050,,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact,Male,3 weeks,Domestic Shorthair Mix,,,2014,5,3,Brown Tabby,,
A680028,,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact,Female,2 weeks,Pit Bull Mix,,,2014,6,7,Brown,White,
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,Cat,Intact,Female,2 years,Angora Mix,,,2014,5,17,White,,
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,Dog,Neutered,Male,1 year,Flat Coat Retriever Mix,,,2014,7,30,Black,,
A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact,Male,2 months,Queensland Heeler Mix,,,2014,1,19,Black,White,
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,Cat,Spayed,Female,1 year,Domestic Shorthair Mix,,,2015,9,18,White,,
A705262,Jamaica,2015-08-15 14:22:00,Adoption,,Dog,Spayed,Female,2 years,Plott Hound,Boxer,,2015,8,15,Brown Brindle,White,
A665781,Quattro,2013-10-28 16:32:00,Adoption,,Dog,Neutered,Male,10 months,German Shepherd Mix,,,2013,10,28,Brown,White,
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,Dog,Neutered,Male,2 months,German Shepherd Mix,,,2014,4,9,Black,Brown,
A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,Cat,Intact,Female,1 month,Domestic Shorthair Mix,,,2015,10,3,Orange Tabby,,
A718832,Nia,2016-01-15 17:31:00,Adoption,,Dog,Spayed,Female,6 months,American Staffordshire Terrier Mix,,,2016,1,15,Chocolate,White,
A698777,Chloe,2015-03-25 18:50:00,Adoption,,Dog,Spayed,Female,5 years,Chihuahua Shorthair Mix,,,2015,3,25,White,Tan,
A715348,Cymbale,2015-11-21 13:01:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2015,11,21,Cream Tabby,White,
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,,Cat,Neutered,Male,7 years,Russian Blue Mix,,,2015,7,30,Blue,,
A718535,,2016-01-01 13:57:00,Euthanasia,Suffering,Cat,Spayed,Female,3 years,Domestic Shorthair Mix,,,2016,1,1,Calico,,
A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact,Male,4 months,Labrador Retriever Mix,,,2015,7,15,Black,White,
A682532,,2014-07-03 17:01:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2014,7,3,Torbie,,
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered,Male,5 years,Collie Smooth,German Shepherd,,2013,11,8,Brown,Black,
A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered,Male,3 years,Chihuahua Shorthair Mix,,,2015,4,11,Brown,,
A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact,Male,3 years,Labrador Retriever Mix,,,2013,12,6,Yellow,,
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered,Male,3 years,Pit Bull Mix,,,2013,10,24,Brown,White,
A682413,,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact,Male,2 months,Domestic Shorthair Mix,,,2014,7,2,Blue,White,
A702655,Mica,2015-08-11 00:00:00,Transfer,Partner,Cat,Neutered,Male,4 months,Domestic Shorthair Mix,,,2015,8,11,Black,White,
A707503,,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact,Male,3 weeks,Domestic Shorthair Mix,,,2015,7,14,Brown Tabby,,
A697199,Pilar,2015-04-04 17:26:00,Adoption,,Cat,Spayed,Female,7 years,Domestic Shorthair Mix,,,2015,4,4,Blue Tabby,,
A705598,,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact,Male,2 months,Domestic Shorthair Mix,,,2015,6,23,Orange Tabby,,
A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact,Female,2 months,Domestic Shorthair Mix,,,2013,12,9,Brown Tabby,,
A671181,,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact,Male,4 years,Domestic Longhair Mix,,,2014,1,21,Black,White,
A676766,Ali,2014-05-28 15:52:00,Adoption,,Cat,Neutered,Male,2 years,Domestic Shorthair Mix,,,2014,5,28,Black,White,
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,,Dog,Neutered,Male,12 years,Beagle,,,2014,8,27,Tricolor,,
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,Cat,Spayed,Female,9 years,Domestic Shorthair Mix,,,2014,8,5,White,Black,
A701804,,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact,Female,3 weeks,Domestic Shorthair Mix,,,2015,5,5,Black,,
A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed,Female,5 months,German Shepherd Mix,,,2015,3,9,Black,Brown,
A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact,Male,6 years,Pit Bull,Labrador Retriever,,2013,10,30,Chocolate,White,
A684050,,2014-07-28 09:00:00,Transfer,SCRP,Cat,Intact,Female,1 year,Domestic Shorthair Mix,,,2014,7,28,Tortie,,
A710107,Caty,2015-10-19 18:58:00,Adoption,,Cat,Spayed,Female,3 months,Domestic Shorthair Mix,,,2015,10,19,Brown Tabby,,
A682347,,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact,Female,3 weeks,Domestic Shorthair Mix,,,2014,6,26,Blue Tabby,White,
A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered,Male,2 years,Blue Lacy Mix,,,2015,5,14,Gray,White,
A690902,Beth,2014-11-18 16:05:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2014,11,18,Orange Tabby,White,
A712979,,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact,Male,1 weeks,Domestic Shorthair Mix,,,2015,10,4,Black,,
A707687,Bashful,2015-08-16 13:52:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2015,8,16,Calico,,
A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact,Male,1 year,Chihuahua Shorthair Mix,,,2014,7,18,Tan,,
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed,Female,4 years,Black Mouth Cur Mix,,,2014,9,16,Tan,Black,
A682784,Sugar,2014-07-07 12:38:00,Adoption,,Dog,Neutered,Male,2 years,Dachshund,Beagle,,2014,7,7,Brown,White,
A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,Cat,Intact,Male,1 year,Domestic Shorthair Mix,,,2015,8,19,Orange Tabby,White,
A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed,Female,11 years,Yorkshire Terrier Mix,,,2014,5,9,Brown,Black,
A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,Cat,Intact,Female,1 month,Domestic Shorthair Mix,,,2015,10,6,Black,,
A712236,Bella,2015-09-23 11:45:00,Adoption,,Dog,Spayed,Female,2 years,Dachshund Mix,,,2015,9,23,Tan,White,
A683961,,2014-07-17 17:31:00,Transfer,Partner,Cat,Unknown,,2 weeks,Domestic Shorthair Mix,,,2014,7,17,Black,,
A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,Dog,Spayed,Female,6 years,Maltese Mix,,,2015,10,27,White,,
A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered,Male,6 months,Pointer Mix,,,2014,12,8,Black,White,
A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact,Female,2 months,English Foxhound,,,2015,9,8,Buff,,
A705258,,2015-06-16 09:00:00,Transfer,SCRP,Cat,Unknown,,2 months,Domestic Shorthair Mix,,,2015,6,16,Brown Tabby,White,
A678172,Bella,2014-05-10 18:18:00,Adoption,,Dog,Spayed,Female,1 year,Chihuahua Shorthair Mix,,,2014,5,10,Red,,
A676736,Chili,2014-04-30 17:55:00,Adoption,,Dog,Neutered,Male,2 months,Vizsla Mix,,,2014,4,30,Brown,,
A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered,Male,2 years,Pit Bull Mix,,,2016,1,29,Brown Brindle,White,
